Wall time,Step,Value
1706008022.7797189,521,-5.808318138122559
1706008023.2533092,522,-13.72880744934082
1706008023.6247957,523,27.635698318481445
1706008024.3328445,524,-8.670073509216309
1706008025.1540713,525,11.09267520904541
1706008025.5801797,526,-65.73530578613281
1706008028.3085523,530,-75.7158432006836
1706008028.7138147,531,41.79510498046875
1706008029.367348,532,-98.60989379882812
1706008030.5344515,533,164.91087341308594
1706008031.0063422,534,-54.546382904052734
1706008031.8215606,535,103.90503692626953
1706008033.088835,536,292.478271484375
1706008037.258038,537,203.82664489746094
1706008038.1163216,538,-106.28325653076172
1706008038.927806,539,160.48785400390625
1706008039.5366633,540,-86.5822525024414
1706008040.228056,541,262.1485900878906
1706008040.755654,542,-73.67556762695312
1706008041.4471583,543,264.6699523925781
1706008042.0510113,544,-40.176727294921875
1706008042.7594538,545,234.82891845703125
1706008043.492021,546,-27.304140090942383
1706008044.2257097,547,-78.61851501464844
1706008045.393355,548,180.5563201904297
1706008046.3928509,549,247.70706176757812
1706008047.1393094,550,-40.724334716796875
1706008047.990376,551,203.86643981933594
1706008049.9836662,552,249.11488342285156
1706008050.8928165,553,214.98809814453125
1706008054.0831263,554,229.98529052734375
1706008054.8354802,555,-9.772711753845215
1706008055.2525332,556,47.90176773071289
1706008056.16113,557,-5.284089088439941
1706008056.736486,558,22.1190128326416
1706008057.2899225,559,-14.038517951965332
1706008057.7372522,560,0.48153844475746155
1706008058.000462,561,-10.355995178222656
1706008058.2243958,562,16.597209930419922
1706008058.7151425,563,54.208656311035156
1706008059.8324952,564,26.93275260925293
1706008060.301667,565,16.862394332885742
1706008060.736455,566,-15.967738151550293
1706008061.2515738,567,235.54396057128906
1706008062.3218586,568,-52.53645706176758
1706008062.68456,569,-22.09595489501953
1706008063.0135345,570,13.370503425598145
1706008063.30996,571,43.105186462402344
1706008063.5971434,572,-8.894879341125488
1706008063.97576,573,250.4395294189453
1706008064.3825905,574,30.85700035095215
1706008064.7285876,575,-16.887678146362305
1706008065.0348234,576,16.978317260742188
1706008065.3632526,577,-55.83285140991211
1706008065.6501615,578,-21.182119369506836
1706008066.1244175,579,223.24383544921875
1706008066.4687617,580,-27.540164947509766
1706008067.0751095,581,223.45199584960938
1706008068.3903375,582,45.03045654296875
1706008068.6499233,583,-86.80709075927734
1706008069.0806134,584,287.81549072265625
1706008070.2799494,585,21.64954376220703
1706008070.5785503,586,6.039466381072998
1706008070.8624213,587,5.790560245513916
1706008071.2562225,588,-141.8382110595703
1706008071.7444005,589,247.32179260253906
1706008072.1351795,590,-38.985877990722656
1706008072.7874231,592,1.2981865406036377
1706008073.3963583,593,-48.03313064575195
1706008074.0640721,594,188.0234832763672
1706008074.4589963,595,-25.69112777709961
1706008074.9036105,596,291.6404724121094
1706008075.466585,597,272.73681640625
1706008075.818395,598,-51.260162353515625
1706008076.1620827,599,15.387063980102539
1706008081.1430943,600,-83.84247589111328
1706008081.5016625,601,-5.065383434295654
1706008081.8162804,602,14.456550598144531
1706008082.212907,603,234.3788299560547
1706008082.5837579,604,50.60844039916992
1706008082.9383261,605,241.99330139160156
1706008083.2683308,606,-13.075128555297852
1706008083.5522676,607,-57.35205841064453
1706008084.2498515,609,-47.730525970458984
1706008084.5517745,610,-32.092891693115234
1706008084.7852623,611,-28.19273567199707
1706008084.9826107,612,-47.36724853515625
1706008086.073791,613,-11.911386489868164
1706008086.4579058,614,17.06665802001953
1706008086.740591,615,-72.72467803955078
1706008087.0988476,616,-50.92802047729492
1706008087.4895284,617,263.13616943359375
1706008087.8225915,618,-47.60661697387695
1706008088.2223513,619,244.35560607910156
1706008088.672483,620,-82.88963317871094
1706008088.9866035,621,-135.8203887939453
1706008089.393502,622,-11.556012153625488
1706008090.1309996,623,-120.52781677246094
1706008090.8004785,624,-61.20811080932617
1706008091.1856074,625,315.9764404296875
1706008091.6543736,626,-86.25091552734375
1706008092.053696,627,-90.13618469238281
1706008092.6947773,628,246.78778076171875
1706008093.1532075,629,-67.46749877929688
1706008093.7807732,630,-74.71460723876953
1706008094.2564337,631,27.316898345947266
1706008094.6000106,632,38.75376510620117
1706008094.9118288,633,-106.51505279541016
1706008095.3668342,634,-52.672088623046875
1706008095.9426715,635,304.109619140625
1706008097.2281485,636,132.75439453125
1706008098.024389,637,0.8436650037765503
1706008100.026195,638,212.48789978027344
1706008101.6221235,639,-126.31385040283203
1706008102.6659777,640,-66.40753173828125
1706008103.166873,641,-216.33851623535156
1706008103.687385,642,-134.7310333251953
1706008104.1223426,643,-95.6834716796875
1706008104.4449625,644,-203.21298217773438
1706008104.8770378,645,-79.62715148925781
1706008105.3233974,646,-55.70655059814453
1706008106.0515144,647,263.1227111816406
1706008106.819726,648,-103.84493255615234
1706008107.4720562,649,-68.883544921875
1706008108.7670915,650,147.7613067626953
1706008110.5757518,651,123.89166259765625
1706008112.8650274,652,-188.29270935058594
1706008114.2322733,653,194.66737365722656
1706008114.739382,654,-212.00807189941406
1706008116.6309445,656,-69.87234497070312
1706008117.0015059,657,-199.86817932128906
1706008117.6506217,658,-105.067138671875
1706008118.005868,659,-21.10950469970703
1706008118.332046,660,-96.78700256347656
1706008118.6414547,661,-85.2988052368164
1706008119.27579,662,-221.29214477539062
1706008119.7326446,663,-13.726531982421875
1706008120.4432588,664,179.6055908203125
1706008121.3787026,665,281.83538818359375
1706008123.2744377,666,-218.36148071289062
